Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-SEP-2023,32616.05,32623.35,31808.75,31879.6,26083976,3663.81
29-SEP-2023,31814.65,32020.35,31514.9,31784.4,21961337,3557.96
03-OCT-2023,31772.75,31852.65,31499.35,31717.25,14264643,2562.66
04-OCT-2023,31531.35,31874.7,31412.5,31811.5,16011307,2678.24
05-OCT-2023,31995,32368.45,31956.9,32125.4,21368285,3610.92
06-OCT-2023,32251.45,32438.4,32098.8,32341.7,13964599,2357.03
09-OCT-2023,32216.15,32638.25,32203.55,32308.55,17409437,3598.27
10-OCT-2023,32423.95,32616.35,32200.25,32569.45,14483712,2650.34
11-OCT-2023,32688.7,32981.9,32489.6,32548.05,24930909,3711.94
12-OCT-2023,32474.15,32556.5,31907,32003.6,28512778,4935.61
13-OCT-2023,31457.5,32024.35,31434.1,31807.95,37321841,5765.99
16-OCT-2023,31831.05,31949.75,31710.65,31750.35,15813352,2721.9
17-OCT-2023,31884.25,31938.2,31770.75,31794.9,13240988,2357.81
18-OCT-2023,31778.55,31882.45,31568.2,31606.65,14900270,2941.03
19-OCT-2023,31345.55,31667,31345.55,31540.05,31158920,4931.44
20-OCT-2023,31445.45,31605.75,31360.5,31469.35,17268500,2965.13
23-OCT-2023,31358.45,31456.1,30802.05,30848.4,13449578,2237.12
25-OCT-2023,30790.35,31004.2,30469,30530.5,16568181,2758.76
26-OCT-2023,30184,30312.45,30054.2,30225.65,28231932,4228.18
27-OCT-2023,30328.25,30676.95,30313.95,30599.7,15078018,2699.06
30-OCT-2023,30627.9,30698.4,30433.65,30640.95,10953689,1857.36
31-OCT-2023,30765.25,30769.2,30396.05,30582.25,12362701,1958.02
01-NOV-2023,30609.45,30694.45,30283.15,30344.85,10910506,2011.97
02-NOV-2023,30575.8,30731.55,30495.3,30582.75,12355798,1992.1
03-NOV-2023,30797.25,30924.85,30739.35,30779.95,11777494,2043.83
06-NOV-2023,30955.35,31034.15,30863.65,30972.95,9486205,1660.75
07-NOV-2023,30949.95,31052.5,30860.65,30981.6,9352974,1485.25
08-NOV-2023,31049.75,31128.9,30865.25,30917.2,11059770,1632.78
09-NOV-2023,30982.65,30993.05,30655.55,30717.7,20466546,2874.26
10-NOV-2023,30623.7,30680.85,30504.1,30639.05,12703735,1706.62
12-NOV-2023,30852.15,30911.65,30820.95,30861,2066938,246.37
13-NOV-2023,30793.65,30810.35,30572.95,30635.85,8906770,1629.27
15-NOV-2023,31095.8,31472.5,30987.75,31429.35,24328330,4095.44
16-NOV-2023,31555.1,32453.65,31431.5,32273.35,26936523,4845.89
17-NOV-2023,32288.9,32405.85,32134.65,32191.3,16422338,2871.37
20-NOV-2023,32202.3,32600.35,32198.1,32383.2,15288580,2743.26
21-NOV-2023,32507.75,32587.15,32300.05,32325.7,12383952,2365.67
22-NOV-2023,32298,32583.45,32262.15,32564.4,11078540,2089.79
23-NOV-2023,32657.15,32688,32334.5,32370.65,14217724,2611.12
24-NOV-2023,32341,32420.45,32010,32055.15,11833523,2168.63
28-NOV-2023,32115.85,32187.95,31807.85,32118.45,14291599,2474.66
29-NOV-2023,32258.5,32633,32248.35,32608.4,18809278,2861.66
30-NOV-2023,32569.8,32701.65,32455.3,32582.2,39485165,9405.23
01-DEC-2023,32729.8,32729.8,32478.75,32598.7,13434173,1966.91
04-DEC-2023,32888.2,32888.2,32522.45,32665.55,16847469,2606.96
05-DEC-2023,32754,32755.2,32252.45,32479.15,18997780,2881.86
06-DEC-2023,32560.15,33073.05,32529.3,33022.6,25298893,3605.82
07-DEC-2023,33053.65,33111.65,32891.75,32961.6,16759090,2734.25
08-DEC-2023,33098.65,33452.4,33012.7,33392.9,25718273,4280.04
11-DEC-2023,33424,33615.7,33332.5,33514.25,16299542,2727
