Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-APR-2024,6060.1,6077.15,5923.85,5979.2,249577501,5756.44
05-APR-2024,5992.35,6017.25,5930.85,5999.65,240121014,4692.01
08-APR-2024,6026.35,6057.7,5998.3,6046.35,158734144,4073.37
09-APR-2024,6064.6,6071.3,5988.25,6032.3,162448495,3493.89
10-APR-2024,6046.7,6118.05,6040.3,6093.55,187506743,4600.35
12-APR-2024,6090.55,6160.65,6031.55,6038.6,227570206,5637.09
15-APR-2024,5953.35,6109.9,5895.5,6056.6,319869639,7215.05
16-APR-2024,6022.8,6127.05,5981.9,6077.3,231354645,5723.83
18-APR-2024,6160.7,6173.25,5961,5984.6,231259282,5689.66
19-APR-2024,5936.5,6014.05,5882.35,5982.8,227636495,4879.39
22-APR-2024,6048.5,6048.5,5980.5,5995.15,151375390,3747.25
23-APR-2024,6020.4,6048.95,5991.5,6035.95,173345338,5050.58
24-APR-2024,6057.45,6136.7,6046.4,6104.75,162815534,4499.84
25-APR-2024,6106.5,6196.5,6082.15,6185.55,174307781,5606.04
26-APR-2024,6210.5,6245.2,6184.9,6206.65,237291071,5205.41
29-APR-2024,6243.05,6252.85,6191,6223.5,200722744,3951.31
30-APR-2024,6249.8,6292.9,6221.1,6253.95,236369667,4777.81
02-MAY-2024,6264.9,6375.15,6233.2,6336.6,266992688,6229.71
03-MAY-2024,6368.55,6444.4,6292.75,6368.3,306700026,7702.56
06-MAY-2024,6408.85,6410.9,6183.85,6267.35,345506252,6909.68
07-MAY-2024,6288.45,6295.95,6086.7,6108.45,237614106,5008.48
08-MAY-2024,6083.6,6268.95,6066.3,6221.8,232590762,4662.17
09-MAY-2024,6242.6,6267.1,5999.15,6017.6,210622142,4428.84
10-MAY-2024,6050.05,6133.1,5987.2,6123.55,194204806,3702.51
13-MAY-2024,6140.8,6141.95,5953.2,6073.7,166401549,3618.98
14-MAY-2024,6098.85,6205.9,6096.85,6199.3,212744349,5010.78
15-MAY-2024,6223.2,6305.85,6215.4,6291.5,199232379,4910.47
16-MAY-2024,6318.85,6345.1,6191.05,6323.7,259446124,6258.04
17-MAY-2024,6359.3,6423.4,6331.5,6398.9,283320232,7240.01
18-MAY-2024,6441.75,6486.95,6426.95,6462.15,70814863,1499.15
21-MAY-2024,6540,6685.2,6509.05,6669.1,568516091,13847.98
22-MAY-2024,6733.15,6753.3,6604.9,6726.9,393399386,9678.2
23-MAY-2024,6729.45,6750,6673.35,6741.7,355470988,11055.62
